user_id,N_False,N_True
344,0,1
1198,2,0
584,0,1
1222,0,1
537,2,0
857,0,1
474,2,0
893,2,0
174,0,1
902,0,1
1233,2,0
1243,0,1
1283,0,1
611,0,1
933,0,1
1074,0,1
536,2,0
841,0,1
555,2,0
1126,2,0
363,4,0
182,0,1
1347,0,1
523,2,0
820,0,1
134,0,1
2,2,0
353,0,1
30,4,0
1191,0,1
914,0,1
881,0,1
869,0,1
599,0,3
1276,2,0
771,0,1
500,0,1
1150,0,1
973,0,1
1099,0,3
1131,0,1
24,0,1
1496,0,1
1451,0,1
607,2,0
486,0,2
1415,0,1
1013,2,3
1013,2,0
514,0,1
68,3,0
1262,2,0
133,0,1
949,0,1
776,2,0
1404,0,1
752,0,3
1503,2,0
112,2,0
531,0,1
143,0,1
1362,0,1
193,5,0
925,4,0
282,5,0
460,0,1
491,2,0
220,0,1
312,0,1
408,0,1
891,0,1
375,0,1
479,0,1
173,0,1
577,0,10
845,0,1
1421,7,1
289,0,1
528,4,0
186,0,1
1529,0,1
1143,0,1
1214,0,1
794,0,2
651,2,0
819,0,2
726,2,0
95,0,1
299,2,0
757,0,1
977,0,1
453,0,1
1120,2,0
532,0,1
1299,0,1
1393,0,1
450,0,1
99,0,1
1486,2,0
239,0,1
864,0,1
64,2,0
852,0,1
1400,0,1
41,0,1
1443,0,1
229,0,1
379,2,0
1430,0,2
667,0,1
1433,2,0
381,2,0
1180,0,2
1040,0,1
1330,0,1
323,0,1
3,6,0
578,0,1
662,0,1
1390,2,0
1305,0,1
1527,0,5
879,0,6
1229,0,2
51,0,1
1193,0,2
1245,0,1
1355,0,1
307,2,0
1500,2,0
495,2,0
1,0,3
40,0,1
1541,0,1
1020,2,0
639,0,1
1284,0,2
1481,0,1
1375,0,1
357,2,0
703,0,3
984,2,0
937,0,1
924,2,0
525,0,1
620,10,0
1435,0,1
439,0,1
1518,0,1
214,0,1
846,0,1
301,0,2
1202,0,1
1368,2,0
1219,0,2
447,3,6
529,0,1
1238,0,1
660,2,0
1189,0,2
731,0,1
1279,0,1
269,0,1
1257,0,1
54,0,1
57,0,1
1278,0,1
281,0,1
900,0,2
707,0,1
580,2,0
1115,0,1
298,0,1
1111,0,1
436,2,0
1538,0,1
1484,0,2
1183,0,1
109,2,0
76,0,2
923,0,2
834,0,1
426,0,1
1199,8,1
1016,0,1
91,0,3
865,0,3
1366,0,2
516,0,1
743,2,0
575,0,2
604,0,2
624,0,2
235,0,1
1394,0,1
119,2,0
1174,0,4
36,0,1
1023,2,0
1383,0,1
1522,0,2
17,0,1
61,0,1
1250,0,1
606,0,1
461,0,1
148,0,2
682,2,0
1027,0,1
1369,0,3
1422,0,1
1147,0,2
16,0,1
911,0,1
1265,0,1
944,3,0
97,0,1
1239,0,1
1141,0,1
746,0,1
991,0,1
346,0,1
824,0,1
637,0,1
1407,0,1
769,0,1
700,3,0
812,0,1
1242,2,0
992,0,2
373,0,1
1489,0,1
777,0,2
29,3,1
1098,2,0
337,0,1
215,0,1
443,0,1
113,2,0
136,3,0
1213,0,4
837,3,0
114,0,1
1000,0,1
1156,0,1
1155,2,0
1178,0,5
1205,0,1
522,0,4
1002,5,0
702,2,1
1028,0,1
967,0,2
101,0,1
118,0,1
1248,0,1
579,0,1
121,0,1
505,0,1
1065,0,3
293,2,0
472,0,1
179,2,0
336,3,0
261,0,1
758,2,0
31,2,0
960,2,0
292,2,0
789,2,0
291,0,1
103,2,7
1413,0,1
734,0,1
656,0,1
833,4,0
917,0,1
572,2,0
159,2,0
275,0,1
1062,0,1
469,0,2
851,0,1
985,0,1
98,2,0
1207,5,0
870,0,77
1228,0,1
686,2,0
1251,0,1
1528,0,1
264,0,1
1497,2,0
206,2,0
610,2,2
564,0,3
556,2,3
808,0,1
154,0,1
490,0,1
1168,0,1
329,2,0
1376,2,0
409,2,0
422,0,1
767,0,2
1227,0,2
222,2,0
393,2,0
981,2,0
884,0,1
1524,0,1
493,0,1
1063,0,1
190,0,1
1009,0,1
49,2,0
817,2,0
1377,0,1
813,0,1
1050,0,1
1035,2,1
1478,0,2
313,0,1
683,0,2
1110,2,0
1327,0,1
587,2,0
1100,20,0
1482,2,0
1046,0,1
470,0,1
906,0,1
419,0,1
1041,0,3
517,0,1
1461,0,1
273,0,2
19,0,1
1187,0,1
590,3,0
744,0,1
401,0,1
1310,0,1
548,0,1
547,0,1
694,2,0
1136,2,0
1294,6,0
927,2,0
1059,2,0
1130,3,0
392,0,5
783,3,0
1439,0,1
840,0,1
1151,0,1
1232,0,2
259,0,1
1453,0,1
175,2,0
507,4,0
1372,2,0
928,2,0
448,0,1
954,0,1
502,2,0
1296,0,1
730,0,1
428,2,0
1353,2,0
1432,3,0
1537,0,1
8,0,1
412,2,0
594,5,0
446,2,0
1034,2,8
365,0,1
365,1,0
901,0,2
543,2,0
583,0,1
230,0,1
75,2,0
874,0,1
905,0,2
603,0,1
407,3,0
751,0,1
1384,3,0
696,2,0
387,2,0
689,0,1
1514,0,1
1101,0,1
390,5,0
1107,0,2
999,2,0
561,0,1
245,2,0
431,2,0
1281,2,0
481,0,1
92,0,1
1018,3,0
625,2,1
1092,0,1
823,2,1
77,0,1
352,0,1
1039,0,1
485,0,1
1042,0,2
1363,3,0
1261,2,0
718,0,1
444,0,1
219,0,1
1274,0,4
484,2,0
1132,0,1
442,2,0
224,0,2
1201,0,1
570,0,1
480,2,0
1094,3,0
1420,0,1
1188,0,1
904,2,0
723,0,1
1071,0,1
621,0,1
211,8,0
1409,3,0
302,2,0
9,0,1
1153,3,15
368,2,0
950,0,1
388,2,0
1012,0,2
951,0,1
1220,0,3
980,0,2
782,0,1
376,2,0
117,2,0
372,0,1
295,0,1
1277,0,1
417,2,0
1382,0,1
1331,2,0
1312,0,1
311,0,1
100,0,2
1286,0,1
961,0,2
1506,2,0
1095,0,1
398,2,0
202,6,0
1350,0,1
1334,0,1
796,0,1
1466,0,1
96,2,0
420,0,1
1436,0,1
238,2,0
770,3,0
1135,0,1
916,2,0
1504,2,0
429,2,0
652,0,1
827,3,0
1512,0,2
418,0,1
1194,0,1
1192,0,1
780,0,1
877,0,1
1081,0,1
597,0,1
1322,0,1
1005,0,2
540,4,4
163,0,2
921,2,0
403,0,1
1163,0,1
1231,4,0
1073,0,1
747,2,0
727,0,1
1516,2,0
315,4,0
271,0,1
383,2,0
32,0,1
704,2,2
1240,0,1
538,0,1
120,0,1
267,2,0
863,2,0
798,0,1
541,3,0
280,0,1
576,2,0
922,0,1
582,0,1
873,0,3
1313,2,1
1124,0,1
661,0,1
1337,3,0
883,2,2
1539,0,3
272,0,1
1324,0,2
1108,0,1
1445,0,1
681,0,2
1077,0,1
389,3,0
1096,0,1
773,0,1
755,2,0
345,0,1
1319,0,1
1533,0,1
629,2,0
640,0,1
1311,0,1
62,2,1
402,0,1
997,2,1
359,0,1
1379,0,1
1058,2,0
1364,4,0
1152,0,1
369,0,1
1425,0,1
512,0,1
237,0,1
1014,0,1
256,0,1
956,0,1
494,0,1
1456,0,1
1070,0,1
1223,0,1
84,0,1
405,3,0
642,3,0
936,0,1
1043,3,0
50,0,1
601,0,3
912,2,0
213,0,1
551,0,1
146,0,1
146,1,0
327,0,1
563,0,1
1494,2,0
826,0,4
142,4,0
737,0,1
185,0,1
184,0,3
385,2,0
894,0,1
760,0,1
340,0,1
1026,0,3
1254,2,0
1267,2,0
34,2,0
1079,0,5
697,0,1
753,0,5
732,2,0
871,0,1
46,2,0
400,0,2
1307,0,1
290,2,0
370,2,0
1302,3,0
198,0,1
10,2,0
90,2,0
1157,0,1
351,0,1
1455,2,0
1216,0,2
1293,2,0
232,0,1
128,0,3
225,2,0
1427,0,1
204,0,1
129,0,1
87,3,0
1434,0,1
338,0,1
958,6,9
366,2,0
210,0,1
328,3,0
1483,0,1
1509,2,0
189,0,1
761,0,1
896,0,1
725,0,1
343,0,1
1476,0,1
890,0,1
848,0,1
963,3,0
1022,3,0
279,2,0
14,2,0
1329,0,1
931,0,1
1392,0,2
506,2,0
842,0,1
83,0,1
406,0,1
1412,4,0
1387,0,2
1011,0,1
149,2,4
1408,0,1
1128,0,2
244,0,2
176,3,0
524,2,0
1471,0,1
325,0,1
1024,0,1
861,6,0
1342,6,0
233,0,1
947,0,2
13,0,1
1513,0,1
626,0,1
452,0,1
632,2,1
1351,3,0
1129,0,1
333,2,0
37,2,1
1004,2,0
968,0,1
720,0,1
35,0,1
710,0,1
151,2,0
598,0,1
1006,2,1
1179,0,2
1106,4,0
765,2,0
116,2,0
437,3,0
71,2,0
1211,0,1
860,0,1
574,0,1
1298,0,1
677,0,5
